,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Nadzaladevi,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,0,27-04-2020 13:08:50,Tbilisi,16a8841259,Ak - 47 0.6г,True,2,нет,Тбилиси,0.6 гр,0.003,1793,656,59,24.0,,,,,,,,,,Ak - 47 0.6g
1,1,27-04-2020 13:08:50,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,8,нет,Тбилиси,1 гр,0.0064,4109,1504,135,55.0,True,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,27-04-2020 13:08:50,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",,2,нет,Тбилиси,1 гр,0.0061,3586,1313,118,48.0,,True,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
3,3,27-04-2020 13:08:50,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1039,67245,24615,2217,900.0,,True,,,,,,,,Metadon 1gr
4,4,27-04-2020 13:08:50,Tbilisi,83f3d55917,2G 19% ТГК Шишки Northern Lights Скидка 1 % через БИТКОИН !!!,,2,нет,Тбилиси,2 гр,0.0091,5380,1969,177,72.0,,,True,,,,,,,2G 19% TGK Shishki Northern Lights Skidka 1 % cherez BITKOIN !!!
5,5,27-04-2020 13:08:50,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0101,5903,2161,195,79.0,,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,6,27-04-2020 13:08:50,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,True,5,нет,Тбилиси,2 гр,0.0108,6351,2325,209,85.0,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
7,7,27-04-2020 13:08:50,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,,1,нет,Тбилиси,3 гр,0.0135,7845,2872,259,105.0,,True,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
8,8,27-04-2020 13:08:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0153,8891,3255,293,119.0,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
9,9,27-04-2020 13:08:50,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.039,23909,8752,788,320.0,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
10,10,27-04-2020 13:08:50,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0377,22415,8205,739,300.0,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
11,11,27-04-2020 13:08:50,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.0224,13075,4786,431,175.0,,True,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,12,27-04-2020 13:08:50,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0487,29887,10940,985,400.0,,True,,,,,,,,gashish evro 10g
13,13,27-04-2020 13:08:50,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,6,нет,Тбилиси,20 гр,0.0514,30260,11077,998,405.0,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
14,14,27-04-2020 13:08:50,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0947,58055,21251,1914,777.0,,True,,,,,,,,Gashish Evro 20gr
15,15,27-04-2020 13:08:50,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2309,149433,54700,4926,2000.0,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,27-04-2020 13:08:50,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,3,Тбилиси,0.5 гр,0.0095,5604,2051,185,75.0,,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
17,17,27-04-2020 13:08:50,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0473,27570,10092,909,369.0,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
18,18,27-04-2020 13:08:50,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0757,44083,16137,1453,590.0,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,27-04-2020 13:08:50,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",,нет,4,Тбилиси,4 гр,0.0082,4815,1776,159,,,True,,60.0,,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
20,20,27-04-2020 13:08:50,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0508,29887,10940,985,400.0,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,27-04-2020 13:08:50,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0698,41094,15043,1355,550.0,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,27-04-2020 13:08:50,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,6,Тбилиси,5 гр,0.0216,12702,4650,419,170.0,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
23,23,27-04-2020 13:08:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0253,14869,5443,490,199.0,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
24,24,27-04-2020 13:08:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0253,14869,5443,490,199.0,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
25,25,27-04-2020 13:08:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0253,16363,5990,539,219.0,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
26,26,27-04-2020 13:08:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,6,Тбилиси,5 гр,0.0253,14869,5443,490,199.0,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
27,27,27-04-2020 13:08:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2936,190000,87429,6265,,,True,,,,,,,,reagent 25i nbome. 5gr
28,28,27-04-2020 13:08:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3463,224149,82050,7389,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
29,29,27-04-2020 13:08:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1115,64928,23767,2140,869.0,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
30,30,27-04-2020 13:08:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0242,14121,5169,466,189.0,,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
31,31,27-04-2020 13:08:50,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0244,14196,5197,468,190.0,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
32,32,27-04-2020 13:08:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0627,36536,13374,1204,489.0,,True,,,,,,,,💘✨5g. MDMA ✨💘
33,33,27-04-2020 13:08:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0242,14121,5169,466,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
34,34,27-04-2020 13:09:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0242,14121,5169,466,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
35,35,27-04-2020 13:09:45,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,5,Тбилиси,10 гр,0.0164,9630,3552,318,,,True,,120.0,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
36,36,27-04-2020 13:09:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1141,67245,24615,2217,900.0,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,27-04-2020 13:09:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0888,52301,19145,1724,700.0,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,27-04-2020 13:09:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0406,23909,8752,788,320.0,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,27-04-2020 13:09:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1015,59773,21880,1970,800.0,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,27-04-2020 13:09:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2822,166244,60854,5480,2225.0,,True,,,,,,,,Amfetamin [White] [Import] 10G
41,41,27-04-2020 13:09:45,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1856,108264,39630,3569,1449.0,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,42,27-04-2020 13:09:45,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0473,27570,10092,909,369.0,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,43,27-04-2020 13:09:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0383,22340,8178,736,299.0,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,44,27-04-2020 13:09:45,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.6405,373582,136750,12315,5000.0,,True,,,,,,,,METADON - 20 G.
45,45,27-04-2020 13:09:45,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0767,44755,16383,1475,599.0,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,46,27-04-2020 13:09:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1395,82188,30085,2709,1100.0,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
47,47,27-04-2020 13:09:45,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3044,179319,65640,5911,2400.0,,True,,,,,,,,100 gr marijuana buds
48,48,27-04-2020 13:09:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2537,149433,54700,4926,2000.0,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,49,27-04-2020 13:09:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3171,186791,68375,6158,2500.0,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
50,50,27-04-2020 13:09:45,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7483,440826,161365,14532,5900.0,,True,,,,,,,,180 gr marihuana persoalno
51,51,27-04-2020 13:09:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5834,343695,125810,11330,4600.0,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,52,27-04-2020 13:09:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9512,560372,205125,18473,7500.0,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,53,27-04-2020 13:09:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.078,635089,232475,20936,8500.0,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
54,54,27-04-2020 13:09:45,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0231,14943,5470,493,200.0,,True,,,,,,,,KURYER..500RUB.+BONUS
55,55,27-04-2020 13:09:45,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0254,14943,5470,493,200.0,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,56,27-04-2020 13:09:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0317,18679,6838,616,250.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,57,27-04-2020 13:09:45,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0254,14943,5470,493,200.0,,True,,,,,,,,Rabota na marki (kur'er)
58,58,27-04-2020 13:09:45,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9197,1120745,410250,36945,15000.0,,True,,,,,,,,Vakansija optovogo kur'era na mef
59,59,27-04-2020 13:11:46,Batumi,54915c4374,Батуми н-бооом 4 штуки,,1,нет,Батуми,4 гр,0.0068,4414,1628,146,,,,,55.0,,,True,,,Batumi n-booom 4 shtuki
60,60,27-04-2020 13:11:46,Batumi,54915c4374,Батуми н-бооом 10 штук,,1,нет,Батуми,10 гр,0.0124,8025,2960,265,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
61,61,27-04-2020 13:11:46,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2795,164376,60170,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
62,62,27-04-2020 13:11:46,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6416,373582,136750,12315,5000.0,,,,,,,True,,,METADON - 20 G.
63,63,27-04-2020 13:11:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0116,7472,2735,246,100.0,,,,,,,True,,,kur'er v Batumi
64,64,27-04-2020 13:11:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0289,18679,6838,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
65,65,27-04-2020 13:11:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0289,18679,6838,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
66,66,27-04-2020 13:11:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9232,1120745,410250,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
67,67,27-04-2020 13:11:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0635,37358,13675,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
68,68,27-04-2020 13:12:56,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0238,14121,5169,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,69,27-04-2020 13:12:56,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0615,36163,13237,1192,484.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,27-04-2020 13:12:56,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0423,24881,9108,820,333.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,27-04-2020 13:12:56,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0254,14943,5470,493,200.0,,,,,,,,,True,Rabota na marki (kur'er)
